Game_ID,Date,Status,Away_Team,Away_Score,Away_Diff,Home_Team,Home_Score,Home_Diff,Away_ML,Home_ML
401858461,2026-09-26,9/25 - 8:00 PM EDT,Northwestern Wildcats,0,-,Indiana Hoosiers,0,-,-,-
401858234,2026-09-26,9/25 - 10:30 PM EDT,Clemson Tigers,0,-,California Golden Bears,0,-,-,-
401862779,2026-09-25,9/25 - 4:00 PM EDT,Army Black Knights,0,-,Temple Owls,0,-,-,-
401858468,2026-09-25,9/25 - 7:00 PM EDT,Howard Bison,0,-,Rutgers Scarlet Knights,0,-,-,-
401862778,2026-09-25,9/25 - 7:00 PM EDT,Navy Midshipmen,0,-,UAB Blazers,0,-,-,-
401869941,2026-09-24,Final,Liberty Flames,34,-,Coastal Carolina Chanticleers,17,-,-142,120
